artist,song
27,bastille ,"We were young and drinking in the park
There was nowhere else to go
And you said you always had my back
Oh but how were we to know

That these are the days that bind you together, forever
And these little things define you forever, forever

All this bad blood here, won't you let it dry?
It's been cold for years, won't you let it lie?

If we're only ever looking back
We will drive ourselves insane
As the friendship goes resentment grows
We will walk our different ways

But those are the days that bind us together, forever
And those little things define us forever, forever

All this bad blood here, won't you let it dry?
It's been cold for years, won't you let it lie?

And I don't wanna hear about the bad blood anymore
I don't wanna hear you talk about it anymore
I don't wanna hear about the bad blood anymore
I don't wanna hear you talk about it anymore

All this bad blood here, won't you let it dry?
It's been cold for years, won't you let it lie?"
28,bastille ,"I know it's been a week
I know it's not been long
But I'm already past the point of no return
I've got you on a loop
I've got you in my head
A chemical reaction, a flashback to your bed

Waiting for your call
I can feel my body shaking
Calm before the storm
Let it take me, I embrace it

You stirred somethin' in me
I admit defeat
Won't be thinking 'bout 
Anything at all tonight, but

You, oh, oh
Anything at all, but
You, oh, oh
Anything at all, but you

So tell me when you're out
And tell me where to go
Of course, you have my body but now you've got my soul
You drive me to distraction
Run me off the road
You crash into my mind, I'm ready to explode

Waiting for your call
I can feel my body shaking
Calm before the storm
Let it take me, I embrace it

You stirred somethin' in me
I admit defeat
Won't be thinking 'bout 
Anything at all tonight, so
Wrap yourself 'round me
I admit defeat
Won't be thinking 'bout 
Anything at all tonight, but

You, oh, oh
Anything at all, but
You, oh, oh
Anything at all, 'cause

You're the only voice in my head
I can hear you speaking
Louder than I'm thinking
Hang on every word that you said
Drive me to distraction
Drive me to distraction

You're the only voice in my head
I can hear you speaking
Louder than I'm thinking
Hang on every word that you said
Drive me to distraction
Drive me to distraction, you

Stirred somethin' in me
I admit defeat
Won't be thinking 'bout 
Anything at all tonight, so
Wrap yourself 'round me
I admit defeat
Won't be thinking 'bout 
Anything at all tonight, but

You, oh, oh
Anything at all, but
You, oh, oh
Anything at all, but you

Anything at all, but you
Anything at all, but you"
29,bastille ,"Oh, oh

Every little sweet, sweet nothin'
I only ever spare on you
You can chalk it up to half-assed lovin'
My tensions never made it through

'Cause I won't let you go

Leave you with your hard-top feelin'
'Cause dinner wasn't made for two
I get caught up in the hustle, shuffle
But my love was always made for you

'Cause I won't let you go
'Cause I won't let you go

Oh, I won't let you go
Oh, I won't let you go

Interruptions are a wall that's too big
Puzzles that were left undone
Memories from the kitchen table
Let me know that you're the one

'Cause I won't let you go
'Cause I won't let you go

Oh, I won't let you go
Oh, I won't let you go

I don't wanna lose you, never give up
Not gonna leave when the goin' gets tough
I don't wanna lose you, never give up
Not gonna leave when the goin' gets tough
Not gonna leave
Not gonna leave
Not gonna leave

Oh, I won't let you go (Oh-oh-oh-oh-oh)
Oh, I won't let you go (I won't let you go)
(Oh-oh-oh)
(Oh-oh-oh)"
30,bastille ,"As the night time bleeds into the day
Tomorrow spills across the sky
And the sun's a harsh reminder why
We are feeling barely human

We don't know what's good for us
'Cause if we did, we might not do it
Who knows where our limits lie?
We won't discover 'til we push it

I should just walk away, walk away
But it grips me, it grips me
But I should call it a day and make my way
Oh, it grips me
'Cause the devil's got my arms
('Cause the devil's got my arms)
And it pulls me back into the night
But I should just walk away, away
Oh, it grips me
'Cause the devil's got my arms
'Cause the devil's got my arms
And it pulls me back into the night

We got drunk on this unholy wine
To deliver us from our old minds
The promise of a better time
'Til we're feeling barely human

We don't know what's good for us
'Cause if we did, we might not do it
Who knows where our limits lie?
We won't discover 'til we push it

'Cause the devil's got my arms
('Cause the devil's got my arms)
And it pulls me back into the night
Well, I should just walk away, away
Oh, it grips me
'Cause the devil's got my arms
And it pulls me back into the night
The devil's got my arms
And it pulls me back into the night

I would rather forget and wash my memory clean
Oh, I would rather forget and wash my memory clean
I would rather forget (I would rather forget)
Wash my memory clean (wash my memory clean)
I would rather forget (I would rather forget)
Wash my memory clean

'Cause the devil's got my arms
And it pulls me back into the night
The devil's got my arms
'Cause the devil's got my arms
And it pulls me back into the night
And it pulls me back into the night"
31,bastille ,"Roll up another cigarette
Using the minute that it takes
To think about the power of your words
We're living in the currents you create
We're sinking in the pool of your mistakes
So stub it out, your podium awaits

Oh my God, my God
I can't quite believe my ears

I'm swimming to the surface
I'm coming up for air
'Cause you're making me feel nervous
I need to clear my head
I can't believe my ears
I don't wanna believe my ears
I'm swimming to the surface
I'm coming up for air

How can you think you're serious?
Do you even know what year it is?
I can't believe the scary points you make
Still living in the currents you create
Still sinking in the pool of your mistakes
Won't you stop firing up the crazies?

Oh my God, my God
I can't quite believe my ears

I'm swimming to the surface
I'm coming up for air
'Cause you're making me feel nervous
I need to clear my head
I can't believe my ears
I don't wanna believe my ears
I'm swimming to the surface
I'm coming up for air

""When anybody preaches disunity, tries to pit one of us against the other
You know that person seeks to rob us of our freedom and destroy our very lives""

Oh, I need a breath
I need a breath
Fill my lungs
Let me fill my lungs?
Oh, I need a breath
I need a breath
Fill my lungs
Let me fill my lungs
Oh, I need a breath
I need a breath
Fill my lungs
Let me fill my lungs
Oh, I need a breath
I need a breath
Fill my lungs
Let me fill my lungs

I'm swimming to the surface
I'm coming up for air
'Cause you're making me feel nervous
I need to clear my head
I can't believe my ears
I don't wanna believe my ears
I'm swimming to the surface
I'm coming up for air"
32,bastille ,"You go sleep with the fishes
There's no room for you here
There's no room for you here
Wrap your teeth around the pavement
'Cause your body's a message
Send my regards to hell

Fall upon your knees saying
""This is my body and soul here""
Fall and begging, pleading
""You've got the power and control""
Don't pin it all on me
Don't pin it all on me

You've been granted three wishes
Say goodbye to your mother, your father, your son
I can hear your pulse racing from here
Sitting next to this gun beats your heart in your mouth

Fall upon your knees saying
""This is my body and soul here""
Fall and begging, pleading
""You've got the power and control""
Don't pin it all on me
Don't pin it all on me

Don't blame, blame, blame (I got you, I got you)
Oh blame, blame, blame (I got you, I got you)
Oh blame, blame, blame (I got you, I got you)
Oh blame, blame, blame (I got you, I got you)

Fall upon your knees saying
""This is my body and soul here""
Fall and begging, pleading
""You've got the power and control here""
This is my body, this is my soul
Fall upon your knees saying
""This is my body and soul""

Don't pin it all on me
Don't pin it all on me"
33,bastille ,"I miss you more

In my thoughts you're far away
And you are whistling a melody, whistling a melody
Crystallizing clear as day
Oh I can picture you so easily, picture you so easily

What's gonna be left of the world if you're not in it?
What's gonna be left of the world, oh?

Every minute and every hour
I miss you, I miss you, I miss you more
Every stumble and each misfire
I miss you, I miss you, I miss you more

I miss you more, I miss you more
I miss you more, I miss you more
I miss you, I miss you
I miss you, I miss you
I miss you, I miss you

I miss you more

I miss you more

I miss you more

Caught off guard by your favourite song
Oh, I'll be dancing at a funeral, dancing at a funeral
Sleeping in the clothes you love
It's such a shame we had to see them burn, shame we had to see them burn

What's gonna be left of the world if you're not in it?
What's gonna be left of the world, oh?

Every minute and every hour
I miss you, I miss you, I miss you more
Every stumble and each misfire
I miss you, I miss you, I miss you more

I miss you more, I miss you more
I miss you more, I miss you more
I miss you, I miss you
I miss you, I miss you
I miss you, I miss you

I miss you more

I miss you more

I miss you more

I miss you more"
34,bastille ,"Every carpet, every floor
Everywhere I look, I fall
Climbing up the walls
I'm climbing up the walls
What goes on behind these doors
I'll keep mine and you'll keep yours
We all have our secrets
We all have our secrets

Behind every door
Is a fall, a fall and
No one's here to sleep

You were always faster than me
I'll never catch up with you, with you
Oh I can feel them coming for me
And you were always faster than me
I'll never catch up with you, with you
Oh I can feel them coming for me

Here's the pride before the fall
Oh, your eyes, they show it all
I can see it coming
I can see it coming
As I rise up through each floor
Shit gets dark and you lose it all
I can hear it coming
I can hear the drumming

Behind every door
Is a fall, a fall and
No one's here to sleep

You were always faster than me
I'll never catch up with you, with you
Oh I can feel them coming for me
And you were always faster than me
I'll never catch up with you, with you
Oh I can feel them coming for me

You were always faster than me
I'll never catch up with you, with you
Oh I can feel them coming for me
And you were always faster than me
I'll never catch up with you, with you
Oh I can feel them coming for me

(You were always faster than me
I will always catch up with you)"
35,bastille ,"We'll make our agreements,
About when to meet,
And I'll leave you in the doorway,
The cold evening aches,
As it leaves in its wake,
All the memories left by the day,
And I'm questioning why,
As you look to the sky,
That it's cloudless up above our heads,
And thoughts come to mind,
That our short little lives,
Haven't left the path that they will tread,
They will tread

I come back to haunt you,
Memories will taunt you,
And I will try to love you,
It's not like I'm above you,

The wisdom we learn as our minds,
They do burn'll,
Entice the naivety in youth,
As adults will grow and maturity shows,
The terrifying rarity of truth,
As you turn to your mind,
And your thoughts they rewind,
To old happenings and things that are done,
You can't find what's passed,
Make that happiness last,
Seeing from those eyes what you become,
What you become

I come back to haunt you,
Memories will taunt you,
And I will try to love you,
It's not like I'm above you,

I will see you there,
See you there,
See you there,
I'll come back to haunt,
Memories will taunt you,
And I will try to love you,
It's not like I'm above you"
36,bastille ,"Moving along in a pace unknown to man
Go go go go go go
Go go go go go

And you thought the lions were bad
Well they tried to kill my brothers
And for every king that died
Oh they would crown another
But it's harder than you think
Telling dreams from one another
And you thought the lions were bad
Well they tried to kill my brothers

And felled in the night
By the ones you think you love
They will come for you
And felled in the night
By the ones you think you love
They will come for you

Dreaming along in a pace you'll understand
Go go go go go go
No no no no no

And you thought the lions were bad
Well they tried to kill my brothers
And for every king that died
Oh they would crown another
And it's harder than you think
Telling dreams from one another
And you thought the lions were bad
Well they tried to kill my brothers

And felled in the night
By the ones you think you love
They will come for you
And felled in the night
By the ones you think you love
They will come for you

Oh to see
What it means to be free
Of the shadows and the dreams
That you claim to see

Oh

And felled in the night
By the ones you think you love
They will come for you

And felled in the night
By the ones you think you love
They will come for you

And felled in the night
By the ones you think you love
They will come for you

And felled in the night
By the ones you think you love
They will come for you

Felled in the night
By the ones you think you love

Felled in the night
By the ones you think you love

Felled in the night
By the ones you think you love, love"
37,rolling blackouts coastal fever,"Down
Your face is down
Your eyes are deep
As the Mariana
I stand by
Under marigold light
Seabirds in flight
Salt on the breeze
Crickets for company
Crickets and you

I don't know why you cut
Me up this way
Putting a cloud on my Saturday
We're down in a hole
We can't just stay
And decorate it tastefully

Fibreglass walls are closing in
All around us
I fear the moment's passing us by
Digging up
Blue sky

Here we go again
My best friend
My only one
My Angelina
Hear me Angelina
I'm deep in my prime
Out on the grind for you
Catch of the year
Man for all seasons
Would you agree?
And there it goes
Our only chance
Look at it shimmer
Out in the distance
Say bye bye bye

I don't know why you cut
Me up this way
Putting a cloud on my Saturday
We're down in a hole
We can't just stay
And decorate it tastefully

Fibreglass walls are closing in
All around us
I fear the moment's passing us by
Digging up
Blue sky"
38,bastille ,"In my left hand there is the familiar
In my right hand there's the great unknown
I can see the madly different grass there
But I'm drawn to wilder nights at home

Don't listen to your friends
See the despair behind their eyes
Don't listen to your friends
They only care once in a while

I can feel the draw
I can feel it pulling me back
It's pulling me back
It's pulling me
I can feel the draw
I can feel it pulling me back
It's pulling me back
It's pulling me

Are you drifting way beyond what's normal?
'Cause 'round your mind rings the words that they would say?
When you go home everything looks different
And you're scared of being left behind

Just listen to your friends
Trusted that fair look in their eyes
Just listen to your friends
They only care and hope you're alright

I can feel the draw
I can feel it pulling me back
It's pulling me back
It's pulling me
I can feel the draw
I can feel it pulling me back
It's pulling me back
It's pulling me

(Whoa oh oh oh
Whoa oh oh oh oh)

I can feel the draw
I can feel it pulling me back
It's pulling me back
It's pulling me
I can feel the draw
I can feel it pulling me back
It's pulling me back
It's pulling me

I can feel the draw
I can feel it's pulling me back
It's pulling me back
It's pulling me
I can feel the draw
I can feel it pulling me back
It's pulling me back
It's pulling me
I can feel the draw
I can feel it's pulling me back
It's pulling me back
It's pulling me
I can feel the draw
The draw
The draw
The draw
The draw"
39,bastille ,"When you fall asleep
With your head
Upon my shoulder
When you're in my arms
But you've gone somewhere deeper

Are you going to age with grace?
Are you going to age without mistakes
Are you going to age with grace?
Or only to wake and hide your face
Well, oh, oblivion
Is calling out your name
You always take it further
Than I ever can

When you play it harder
And I try to follow you there
It's not about control
But I turn back when I see where you go

Are you going to age with grace?
Are you going to leave a path to trace?
But, oblivion
Is calling out your name
You always take it further
Than I ever can
When oblivion
Is calling out your name
You always take it further
Than I ever can"
40,rolling blackouts coastal fever,"I heard you talking
Your voice had an old melody
Like sweet river water
Back from the bathroom
Moon in your hair
Late revival
It was a short walk home

I take my time
I check my sides
My head revolving
My soul divides
My feet collide
I want to make amends

My sense was off
My knees were rolled
My eyes were sweaty
My arms were heavy
I reappeared, except a faded song
A vision of a real thing

You take a high wire jump
You feel time dripping away
Falling in the burning room
You feel time dripping away

And I wait for the moment to come
And I watch all the minutes run

I take my time
My head revolving
A second chance
A deviation

You take a high wire jump
You feel time dripping away
Falling in the burning room
You feel time dripping away

I put myself in a letter
I send myself on the power lines
A picture of yourself in the future
And nation in the plains
Beyond the frames
Two figurines on the melter
You find yourself, again, on holiday
I feel it in my brain
Do you feel the same?
I can't be ignored on video

You take a high wire jump
You feel time dripping away
Falling in the burning room
You feel time dripping away"
41,rolling blackouts coastal fever,"I heard the sound of the church at six
I fell among the cooling bricks
All the tall trees were still lining the avenue
Hanging there like old friends do, bystanding quietly

Had the game lost its spark?
Evening star, right on cue

Still in a solid state
Still in a solid state for so long
Night train passing over
And the sound kept on ringing 'round

I went the long way, I would be vindicated

I kept my head down, two eyes on the paving
Caught in a necktie, a lifestyle in single file
A river of brake lights to opposite lifts
And opposite lofts

Still in a solid state
Still in a solid state for so long
Night train passing over
And the sound kept on ringing round

World A.D.
You walk past the wall you first kissed her against
How could you forget?
While the sirens howled and the wind caressed
Under jacaranda, beneath the burnt-out moon
Or was it over there?
Did it ever matter in the first place?
Does she still think about it now and then?
In her air conditioned home
On her air conditioned street
In an air conditioned city"
42,bastille ,"Aim, throw your best shot right at me
'Cause pain, I can take it easily
Did you really think I'd fall to my knees
Just to pray for some sweet simplicity?

'Cause woah, you're squeezing my heart
Too hard in your bare hands, they hold too tight
And woah the air is on fire
This room feels electric, cord here in your sights

Power, power
I will never understand the power you're holding over me
Power, power
Oh you've had it too long, yes you've had it too long

Pain, just synapses firing in our brain
So when you cut me, cut me deep
Hurt the ones you love the most easily
'Cause in time we show our Achilles's heels

And woah, you're squeezing my heart
Too hard in your cold bare hands, they hold too tight
And woah the air is on fire
This room feels electric, cord here in your sights

Power, power
I will never understand the power you're holding over me
Power, power
Oh you've had it too long, yes you've had it too long

If you're gonna hit me, hit me harder (hit me, hit me harder)
'Cause you better knock me out the first time
And if you're do this with the plaster (do this with the plaster)
Power, power
Blows my mind to think I ever let you hold it over me

Power, power
I will never understand the way I let you hold it over me
Power, power
Well you've had it too long, yes you've had it too long
Power, oh, oh, power, oh, oh, oh, oh, oh, oh, oh
Power, power
I let you have it too long, yes you've had it too long"
43,rolling blackouts coastal fever,"Hello, old friend
Are you back again
I can hear your rings on the pavement
Nice to see you keep up appearances
But must you beg so hard on my basement

All your plants are dead
Balance in the red
But you always paid your way
Fair enough to say
How

After Collingwood
Saw you as you were
Shot for Hollywood
Draped in dirty fur
This town was not big enough
For the one of you
Doors were to narrow
And the chill wind blew

Felt it in your bones
Roll away the stone
You lose again in the northern island

But when you lay me down sweet and slow
My heart won't fight it
Stone cold
Flying like a hawk
Skywards

In the city of dreamers
There were so many like you
Snowflakes melted in the perma-sun
Bands on the run
It was warm at night
But cold inside you

Though it never rained
Sometimes hurricane
With you in the eye of them
They'd always spare your head

But when you lay me down sweet and slow
My heart won't fight it
Stone cold
Flying like a hawk
Skywards

Called you the cool change
'Cause when you darkened the doorway
Someone's life was about to get clouded
But not me though
I was the one who thought that
Sunshine from your eyes
When you smiled
You were the chosen boy
And you chose to ride the wind

But when you lay me down sweet and slow
My heart won't fight it
Stone cold
Flying like a hawk
Skywards"
44,bastille ,"And now that I've lost everything to you
You say you wanna start something new
And it's breaking my heart you're leaving
Baby, I'm grieving
But if you wanna leave then take good care
I hope you have a lot of nice things to wear
But then a lot of nice things turn bad out there

Ooh, baby, baby, it's a wild world
It's hard to get by, just upon a smile, girl
Ooh, baby, baby, it's a wild world
I'll always remember you, just like a child, girl

You know I've seen a lot of what the world can do
And it's breaking my heart in two
Because I never wanna see you sad, girl
Don't be a bad girl
But if you wanna leave then take good care
I hope you make a lot of nice friends out there
But just remember there's a lot of bad and beware
Oh, oh, oh, oh, oh, oh, ooh, oh

Ooh baby, baby, it's a wild world (yeah)
It's hard to get by, just upon a smile, girl
Ooh, baby, baby, it's a wild world
I'll always remember you, just like a child, girl (child, girl)
I'll always remember you, just like a child, girl"
45,rolling blackouts coastal fever,"Looking at me wide eyed
Bouncing out the door
Goosebumps on your skin
While swimming at Clovelly
Looking straight ahead
Sitting by me in the car
Been wondering what you're thinking
Let's not go too far
Your hair stands up
When I kiss the back of your neck
Been driving 'cross the country
Just to see those wide eyes

Wide eyes

When I hit South Dowling St
I know where I am
I have a fortunate life
Gonna see what I can
One in every port
You know that's not who I am
You'll never see your kitchen floor
The same way again
With those wide eyes

Wide eyes"
46,rolling blackouts coastal fever,"I'm back in the state
To find another way
Back into the new world
That looks exactly the same
And when I walk through the gate
Cold sweat on my face
I can never really be sure
Who's gonna open the door

New seasons frosted
River run
I will run to you
Seven years, you let love in
And you will come to me
Never let this cowboy ride
The only one is right
For your eyes

I found the jewel
Deep in a swimming pool
I knew what I was lacking
So I threw it back in
Now I drive the ring roads
Sing my song
Suspended in the air
I could be anywhere

New seasons frosted
River run
I will run to you
Seven years, you let love in
And you will come to me
Never let this cowboy ride
The only one is right
For your eyes

The only one
The only one
The only one
The only one
The only one"
47,bastille ,"All that I've got to be thankful for
All that I've got to be thankful for
In the heat, try to love these streets

In this town, it all went down
Our chromosomes in sepia tones
In my mind, in my mind

Where you lead your lives
Before from our small island
Brought right back to these shores
To these shores, to these shores

[Chorus]
It's alive, It's alive
When I see it through your eyes
It's alive, It's alive
Now I understand your lives
When you take me there
You show me the city
I see it through your eyes
When you take me there
We drive through the city
Beneath the Durban Skies

Oh oh oh.
All that I've got to be thankful for

On the day you made your vows
The heaven's opened, rain poured down
It poured down
Down, down

Grey and brown, the seventies
It suits you wore, and the ones you loved
Were so young, were so young,
Lord, you were so young

[Chorus]
It's alive, It's alive
When I see it through your eyes
It's alive, It's alive
Now I understand your lives
When you take me there
You show me the city
I see it through your eyes
When you take me there
We drive through the city
Beneath the Durban Skies

Oh oh oh.
All that I've got to be thankful for
Oh, all that I've got to be thankful for
All that I've got to be thankful for

[Chorus]
It's alive, It's alive
When I see it through your eyes
It's alive, It's alive
Now I understand your lives
When you take me there
You show me the city
I see it through your eyes
When you take me there
We drive through the city
Beneath the Durban Skies

When you take me there, ooh
When you take me there
It's alive, It's alive

When you take me there
It's alive, It's alive"
48,rolling blackouts coastal fever,"Call it what it is
Don't leave me waiting
Cut your face again
Winter lie fading
Whiskey in the jar
Old man's at the pawnshop
Walked off in his robe
Kids at the bus stop

I once had it made
Never strayed
Very far
And it's Steven on the breeze
Calling out for the keys

I want to stand on the edge again
I want to step off

(Ooh ooh)

Playing where it lands
Calling for hours
Easy on the sand
Hard in the showers
Scuff my blinded shoes
Smoke up in the alley
You disappear again
With (?)
Oh no

I once tried to say
In the gray concrete yard
And they looked the other way
As Steven went in hard

I want to stand on the edge again
I want to step off

(Ooh ooh)
(Ooh ooh ooh)
(Ooh ooh)

I want to
I want to go"
49,bastille ,"An act of kindness
Is what you show to me
Not more than I can take
Not more than I can take
Kindness is what you show to me
It holds me 'till I ache
Overflow and start to break

Oh I, got a feeling this will shake me down
Oh I, kind of hoping this will turn me round

And now it follows me every day
And now it follows me every day, every day, every day
And now it follows me every day
And now it follows me every day, every day, every day

An act of kindness
Is what you show to me
It caught me by surprise in this town of glass and eyes
Kindness, so many people pass me by
But you warm me to my core and you left me wanting more

Oh I, got a feeling this will shake me down
Oh I, kind of hoping it will turn me round
Oh I, got a feeling that however slow
Oh I, kind of hoping this will reach my soul

And now it follows me every day
And now it follows me every day, every day, every day
And now it follows me every day
And now it follows me every day, every day, every day

Oh my back's up against the wall
I feel guilty, I feel guilty
Want nothing in return
I feel guilty, I feel guilty
Oh my back's up against the wall
I feel guilty, I feel guilty
Want nothing in return
I feel guilty, I feel guilty

And now it follows me every day
And now it follows me every day, every day, every day
And now it follows me every day
And now it follows me every day, every day, every day

Back's up against the wall
I feel guilty, I feel guilty
And you want nothing in return
I feel guilty, I feel guilty"
50,bastille ,"Whoa, whoa, whoa, whoa

Thought I'd never be waking on the kitchen floor
But here I lie, not the first time
Now my morning has broken, and it brings the fear
My mind's falling, falling

Then I feel my pulse quickening
But regrets can't change anything
Yeah, I feel my pulse quickening
When your name lights up the screen

Oh joy, when you call me
I was giving up, oh, I was giving in
Joy, set my mind free
I was giving up, oh, I was giving in

How'd you always know when I'm down?
How'd you always know when I'm down?

Take a walk through the wreckage, clearing out my head
I hear your eyes roll right down the phone
I'm your walking disaster, keep on dragging me
From self-pity, poor me

Then I feel my pulse quickening
But I wouldn't change a thing

Oh joy, when you call me
I was giving up, oh, I was giving in
Joy, set my mind free
I was giving up, oh, I was giving in

How'd you always know when I'm down?
How'd you always know when I'm down?

As the night dissolves into this final frame
You're a sweet relief, you saved me from my brain
From my brain, from my brain, from my brain (brain, brain, brain, brain)
Whoa, whoa, whoa, whoa (brain, brain, brain, brain)

Oh joy, when you call me
I was giving up, oh, I was giving in
Joy, set my mind free
I was giving up, oh, I was giving in

How'd you always know when I'm down?
How'd you always know when I'm down?

I feel joy when you call me
I feel joy when you call me (I-I-I feel joy)
I feel joy when you call me
I feel joy when you call me
How'd you always know when I'm down?
How'd you always know when I'm down?"
51,bastille ,"Lately, I've been, I've been thinking
I want you to be happier, I want you to be happier

When the morning comes
When we see what we've become
In the cold light of day we're a flame in the wind
Not the fire that we've begun
Every argument, every word we can't take back
'Cause with the all that has happened
I think that we both know the way that the story ends

Then only for a minute
I want to change my mind
'Cause this just don't feel right to me
I want to raise your spirits
I want to see you smile but
Know that means I'll have to leave

Know that means I'll have to leave
Lately, I've been, I've been thinking
I want you to be happier, I want you to be happier

When the evening falls
And I'm left there with my thoughts
And the image of you being with someone else
Well, that's eating me up inside
But we run our course, we pretend that we're okay
Now if we jump together at least we can swim
Far away from the wreck we made

Then only for a minute
I want to change my mind
'Cause this just don't feel right to me
I want to raise your spirits
I want to see you smile but
Know that means I'll have to leave

Know that means I'll have to leave
Lately, I've been, I've been thinking
I want you to be happier, I want you to be happier

So I'll go, I'll go
I will go, go, go
So I'll go, I'll go
I will go, go, go

Lately, I've been, I've been thinking
I want you to be happier, I want you to be happier
Even though I might not like this
I think that you'll be happier, I want you to be happier

Then only for a minute (only for a minute)
I want to change my mind
'Cause this just don't feel right to me
I want to raise your spirits
I want to see you smile but
Know that means I'll have to leave

Know that means I'll have to leave
Lately, I've been, I've been thinking
I want you to be happier, I want you to be happier

So I'll go, I'll go
I will go, go, go"
52,bastille ,"So her fingers ran away with themselves
'Till everything was documented
Our mind it was reaching out
To put into words what their bodies had done

They lie together, oh
Oil on water
And they lie upon her, oh
Someone's daughter

It's a catalogue of modern mistakes
Her words and legs wrapped around each man
Leaving stories like digital crumbs
As she turns these nights into literature

They lie together, oh
Oil on water
And they lie upon her, oh
Someone's daughter

When they leave she sets about writing down
Awkward body games all over town
Warm affection runs through every word
We're screens away but we're laughing with her

They lie together, oh
Oil on water
Oh they lie upon her, oh
Someone's daughter

They lie upon her, oh
Oil on water"
53,bastille ,"How am I gonna get myself back home?
Ay-ay, ay-ay, ay-ay
How am I gonna get myself back home?
Ay-ay, ay-ay, ay-ay

We are the last people standing
At the end of the night
We are the greatest pretenders
In the cold morning light

This is just another night
And we've had many of them
To the morning we're cast out
But I know I'll land here again

How am I gonna get myself back home?
Ay-ay, ay-ay, ay-ay
How am I gonna get myself back home?
Ay-ay, ay-ay, ay-ay

There's a light in the bedroom
But it's dark
Scattered around on the floor
All my thoughts

This is just another night
And we've had many of them
To the morning we're cast out
But I know I'll land here again

How am I gonna get myself back home?
Ay-ay, ay-ay, ay-ay
How am I gonna get myself back home?
Ay-ay, ay-ay, ay-ay

The birds are mocking me
They call to be heard
The birds are mocking me
They curse my return

How am I gonna get myself back home?
Ay-ay, ay-ay, ay-ay
How am I gonna get myself back home?
Ay-ay, ay-ay, ay-ay

How am I gonna get myself back home?
Ay-ay, ay-ay, ay-ay
How am I gonna get myself back home?
Ay-ay, ay-ay, ay-ay, I'm lost"
54,bastille ,"Shout out from the bottom of my lungs
A plague on both your houses
This thing
It's a family affair
It's drawing out my weakness

Big boys don't cry
They don't ask why

There was a time when a moment like this
Wouldn't ever cross my mind
The sun will rise with my name on your lips
'Cause everything will change tonight

I want to be back on the ground
Where my feet touch my shadow
I want to dig my heels in the dirt
Feel it break between all of my toes
Anything to stop floating 'round
Bring me down
Back down below, oh, oh, oh, oh

Take breath
And push the anger down
Try to remember calmness

Big boys don't cry
They don't ask why

There was a time when a moment like this
Wouldn't ever cross my mind
The sun will rise with my name on your lips
'Cause everything will change tonight

Hey now
What's the gravity upon your face
So I'm the one who's bleeding
Real men
Always thinkin' with our fists
My turn to be the victim

Big boys don't cry
They don't ask why

There was a time when a moment like this
Wouldn't ever cross my mind
The sun will rise with my name on your lips
'Cause everything will change tonight

There was a time when a moment like this
Wouldn't ever cross my mind
The sun will rise with my name on your lips
'Cause everything will change tonight"
55,rolling blackouts coastal fever,"Well they don't know how hard it is
To keep the story straight
When you've been running close all night
You've been dicing with fate

Is it any wonder
We're on the outside
Falling like thunder
From the sky
Call it by its name when you sing low
Hold it like a knife against you
Is it any wonder it stings
Sun is in our eyes

I keep my vision tight
At all the deep scenes
A stationary boy in a moving daydream
Down on the corner watching over
Liquid crystal simulation
Like a ghost at the service station
In some far off fencepost nation

Is it any wonder
We're on the outside
Falling like thunder
From the sky
Call it by its name when you sing low
Hold it like a knife against you
Is it any wonder it stings
The sun is in our eyes

And we're changing with the season
Changing with the season

Is it any wonder
We're on the outside
Falling like thunder
From the sky
Call it by its name when you sing low
Hold it like a knife against you
Is it any wonder it stings
Sun is in our eyes

Red light is fading
Caught in the moonrise
Leaves fall faster
Even your bright eyes

Red light is fading
Caught in the moonrise
Leaves fall faster
Even your bright eyes
Are changing with the season
Changing with the season"
